layer,neuron,change_score
30,11169,1.4039827585220337
31,4015,1.40330171585083
29,3490,1.4014791250228882
31,12033,1.401034951210022
30,11377,1.4007837772369385
30,1724,1.4003236293792725
31,1340,1.4000073671340942
31,9678,1.39693021774292
31,4501,1.396592140197754
30,6976,1.3951438665390015
30,5624,1.3950597047805786
31,10210,1.3948781490325928
30,4426,1.3947397470474243
30,12371,1.3941744565963745
30,6255,1.394039273262024
31,8098,1.3865203857421875
31,13110,1.3865121603012085
31,9663,1.384771704673767
30,5840,1.3847273588180542
31,13647,1.3840771913528442
30,4079,1.382076382637024
31,4974,1.3820180892944336
31,1506,1.3809536695480347
30,465,1.3800703287124634
30,12660,1.3788630962371826
30,5333,1.3773152828216553
30,965,1.3762675523757935
30,4497,1.374580979347229
30,503,1.374484658241272
28,13243,1.3744333982467651
31,5630,1.374420404434204
30,5914,1.3740365505218506
31,8937,1.3733896017074585
31,1109,1.3730173110961914
30,4505,1.3726444244384766
30,6539,1.3722306489944458
31,3061,1.372084140777588
31,9690,1.371321439743042
31,1157,1.370189905166626
30,6171,1.3674389123916626
31,3499,1.3654741048812866
30,9513,1.3646996021270752
29,5337,1.3645751476287842
29,3912,1.364455223083496
30,1249,1.3643606901168823
31,5915,1.3642914295196533
31,3811,1.363489031791687
31,5728,1.3618462085723877
30,17,1.3611139059066772
30,7790,1.3609482049942017
31,1074,1.3592480421066284
31,931,1.358473777770996
30,9717,1.3581655025482178
30,2069,1.357128381729126
30,1130,1.3554604053497314
30,2195,1.3535375595092773
31,556,1.3534214496612549
31,4768,1.3527865409851074
30,5767,1.3527634143829346
31,7365,1.3513920307159424
31,13197,1.3485349416732788
30,14282,1.347463846206665
31,13814,1.3456125259399414
30,13935,1.3427115678787231
30,6093,1.3419286012649536
31,2016,1.340948224067688
31,531,1.3407682180404663
31,437,1.3392982482910156
30,11842,1.3365373611450195
30,12600,1.3363360166549683
29,666,1.334262490272522
31,7411,1.3330343961715698
31,11392,1.3324649333953857
31,4374,1.3324573040008545
31,6059,1.3307994604110718
31,6306,1.3299729824066162
30,7107,1.32895028591156
31,5636,1.3285619020462036
30,11272,1.3283486366271973
31,416,1.3258479833602905
31,6998,1.3247801065444946
28,8589,1.3242608308792114
31,5806,1.322883129119873
30,1529,1.321938157081604
31,3680,1.3219232559204102
31,2204,1.3215234279632568
30,7609,1.3213680982589722
31,12816,1.3196505308151245
28,1692,1.3192232847213745
31,8807,1.3185938596725464
31,5189,1.3173527717590332
30,9556,1.3165932893753052
31,11234,1.3142282962799072
31,4037,1.3140392303466797
31,11571,1.313166618347168
30,4560,1.3124845027923584
30,4503,1.311917781829834
31,9792,1.3094215393066406
30,3930,1.3061162233352661
31,6950,1.304360270500183
31,3759,1.3036937713623047
31,2432,1.3022581338882446
30,4546,1.3022104501724243
30,837,1.3001775741577148
30,9735,1.2945868968963623
30,9893,1.2937121391296387
30,5426,1.2924203872680664
31,9081,1.291921615600586
30,8023,1.2895830869674683
31,11256,1.2894505262374878
30,10599,1.2893415689468384
31,10908,1.2890210151672363
31,3261,1.2889550924301147
30,7776,1.2879321575164795
30,2405,1.2840880155563354
31,13258,1.2832880020141602
31,7513,1.2829432487487793
31,3835,1.2822387218475342
30,5649,1.2817960977554321
31,9289,1.280776023864746
30,2521,1.2803789377212524
30,5804,1.278429627418518
30,5417,1.2778257131576538
30,11533,1.2776238918304443
31,11843,1.2762653827667236
30,11860,1.2741265296936035
29,8741,1.2711992263793945
30,6851,1.2699429988861084
31,10548,1.2699273824691772
31,1166,1.2693874835968018
31,10843,1.2679682970046997
30,9125,1.2679332494735718
30,248,1.2672585248947144
30,779,1.2663782835006714
30,14233,1.2663217782974243
30,10997,1.2659589052200317
31,10464,1.2652778625488281
30,14261,1.2636282444000244
9,12312,1.2625815868377686
29,11535,1.2621557712554932
30,7393,1.2616127729415894
30,2689,1.2606691122055054
31,13449,1.2603321075439453
31,111,1.2590538263320923
30,9404,1.258999228477478
29,13350,1.257651448249817
30,11992,1.2553369998931885
31,8410,1.2546552419662476
30,3429,1.2546181678771973
29,4006,1.2534302473068237
30,3483,1.2509738206863403
31,8950,1.250930666923523
30,10,1.2500150203704834
31,12434,1.2468231916427612
31,4762,1.2464250326156616
30,12150,1.2442965507507324
31,11816,1.2399226427078247
30,4438,1.2385973930358887
30,2440,1.2376679182052612
31,10834,1.237513780593872
31,1136,1.2360259294509888
31,4537,1.2357854843139648
29,11151,1.2353636026382446
30,13111,1.2352222204208374
30,6618,1.234669804573059
